strain,phage,interaction
034026C1,LF82_P8,1
035004,LF82_P8,1
VDG427,LF82_P8,1
IAI48,LF82_P8,1
BEN4D,LF82_P8,1
NILS20,LF82_P8,1
034008,LF82_P8,1
001031C1,LF82_P8,0
013008,LF82_P8,0
COLF12G,LF82_P8,1
381A,LF82_P8,1
ECOR65,LF82_P8,1
IAI49,LF82_P8,0
NILS77,LF82_P8,0
IAI78,LF82_P8,1
IAI81,LF82_P8,1
IAI79,LF82_P8,1
IAI80,LF82_P8,1
ECOR64,LF82_P8,1
IAI67,LF82_P8,0
NILS28,LF82_P8,1
NILS58,LF82_P8,1
IAI47,LF82_P8,1
ECOR63,LF82_P8,1
ASP51G,LF82_P8,1
S176,LF82_P8,1
H10030035DE,LF82_P8,0
S21,LF82_P8,0
FN116,LF82_P8,1
FNB9,LF82_P8,0
FN126,LF82_P8,0
S111,LF82_P8,0
FN89,LF82_P8,0
NILS64,LF82_P8,0
LI10,LF82_P8,0
NILS25,LF82_P8,1
NILS55,LF82_P8,0
NILS27,LF82_P8,1
NILS73,LF82_P8,1
NILS19,LF82_P8,0
LM33,LF82_P8,0
NILS44,LF82_P8,0
NILS53,LF82_P8,0
NILS76,LF82_P8,0
NILS63,LF82_P8,0
NILS69,LF82_P8,1
ECOR66,LF82_P8,1
E234869,LF82_P8,0
FNB7,LF82_P8,0
DEC2A,LF82_P8,0
DEC1A,LF82_P8,0
FNB4,LF82_P8,0
BDX09,LF82_P8,1
AN03,LF82_P8,1
H10010155MI,LF82_P8,0
H10010034SM,LF82_P8,1
NILS60,LF82_P8,1
H10010053KC,LF82_P8,0
H10030054PP,LF82_P8,1
B1932,LF82_P8,0
ROAR434,LF82_P8,1
001023,LF82_P8,1
003026,LF82_P8,1
921A,LF82_P8,0
916A,LF82_P8,1
E1426,LF82_P8,1
H95,LF82_P8,1
H10020069VG,LF82_P8,1
ECOR38,LF82_P8,0
ECOR39,LF82_P8,1
ECOR41,LF82_P8,0
ECOR40,LF82_P8,0
IAI39,LF82_P8,1
IAI36,LF82_P8,1
ECOR35,LF82_P8,1
IAI58,LF82_P8,1
ECOR36,LF82_P8,1
NILS36,LF82_P8,0
IAI35,LF82_P8,1
IAI33,LF82_P8,1
NILS01,LF82_P8,1
PDP21,LF82_P8,1
NILS39,LF82_P8,1
NILS50,LF82_P8,1
NILS46,LF82_P8,0
LM08,LF82_P8,1
NILS18,LF82_P8,1
LM02,LF82_P8,0
DIJ07,LF82_P8,0
LM40,LF82_P8,1
BDX03,LF82_P8,1
IAI30,LF82_P8,0
IAI27,LF82_P8,0
ECOR47,LF82_P8,1
IAI24,LF82_P8,1
ECOR44,LF82_P8,0
NILS38,LF82_P8,0
NILS51,LF82_P8,0
ECOR49,LF82_P8,0
ECOR50,LF82_P8,0
NILS56,LF82_P8,0
ECOR46,LF82_P8,0
NILS42,LF82_P8,1
